期权代码,期权名称,最新价,涨跌幅,行权价,折溢价率,标的名称,标的最新价,标的涨跌幅,盈亏平衡价,到期日
10008907,300ETF购9月4401A,0.2541,14.98,4.401,-0.17,沪深300ETF,4.663,0.89,4.655,2025-09-24
10009963,科创板50购10月1200,0.278,14.88,1.2,-1.14,科创板50ETF,1.495,3.68,1.478,2025-10-22
10008905,50ETF购9月2950,0.1188,14.23,2.95,-0.1,上证50ETF,3.072,0.59,3.069,2025-09-24
10008836,500ETF购9月6250,1.1717,14.09,6.25,-0.14,中证500ETF,7.432,2.13,7.422,2025-09-24
10009893,50ETF购10月3100,0.0448,13.99,3.1,2.37,上证50ETF,3.072,0.59,3.145,2025-10-22
10010027,300ETF购12月5250,0.0375,13.98,5.25,13.39,沪深300ETF,4.663,0.89,5.288,2025-12-24
10009927,500ETF购10月6500,0.8846,13.85,6.5,-0.64,中证500ETF,7.432,2.13,7.385,2025-10-22
10009909,300ETF购10月4300,0.37,13.74,4.3,0.15,沪深300ETF,4.663,0.89,4.67,2025-10-22
10009869,300ETF购12月5000,0.0719,13.05,5.0,8.77,沪深300ETF,4.663,0.89,5.072,2025-12-24
10009944,科创50购10月1200,0.3109,13.05,1.2,-1.25,科创50ETF,1.53,3.73,1.511,2025-10-22
10009891,50ETF购10月2950,0.1416,13.01,2.95,0.64,上证50ETF,3.072,0.59,3.092,2025-10-22
10008872,科创板50购9月1150,0.3299,12.98,1.15,-1.01,科创板50ETF,1.495,3.68,1.48,2025-09-24
10009713,科创板50购3月1250,0.2501,12.96,1.25,0.34,科创板50ETF,1.495,3.68,1.5,2026-03-25
10009797,300ETF购12月4800,0.1229,12.86,4.8,5.57,沪深300ETF,4.663,0.89,4.923,2025-12-24
10009712,科创板50购3月1200,0.2829,12.84,1.2,-0.81,科创板50ETF,1.495,3.68,1.483,2026-03-25
10009761,300ETF购12月4700,0.1613,12.8,4.7,4.25,沪深300ETF,4.663,0.89,4.861,2025-12-24
10009892,50ETF购10月3000,0.1006,12.78,3.0,0.93,上证50ETF,3.072,0.59,3.101,2025-10-22
10009296,科创板50购12月1200,0.2729,12.77,1.2,-1.48,科创板50ETF,1.495,3.68,1.473,2025-12-24
10009694,科创50购3月1200,0.3098,12.65,1.2,-1.32,科创50ETF,1.53,3.73,1.51,2026-03-25
10009631,300ETF购12月4600,0.2067,12.34,4.6,3.08,沪深300ETF,4.663,0.89,4.807,2025-12-24
10008853,科创50购9月1150,0.365,12.31,1.15,-0.98,科创50ETF,1.53,3.73,1.515,2025-09-24
10009609,300ETF购12月4500,0.2649,12.06,4.5,2.19,沪深300ETF,4.663,0.89,4.765,2025-12-24
10009894,50ETF购10月3200,0.0178,11.95,3.2,4.75,上证50ETF,3.072,0.59,3.218,2025-10-22
10009890,50ETF购10月2900,0.1857,11.73,2.9,0.45,上证50ETF,3.072,0.59,3.086,2025-10-22
10008835,500ETF购9月6000,1.422,11.35,6.0,-0.13,中证500ETF,7.432,2.13,7.422,2025-09-24
10008852,科创50购9月1100,0.4175,11.33,1.1,-0.82,科创50ETF,1.53,3.73,1.518,2025-09-24
10009821,300ETF购12月4900,0.0939,11.12,4.9,7.1,沪深300ETF,4.663,0.89,4.994,2025-12-24
10009979,300ETF购10月5000,0.014,11.11,5.0,7.53,沪深300ETF,4.663,0.89,5.014,2025-10-22
10009463,300ETF购9月4300,0.3574,10.99,4.3,-0.12,沪深300ETF,4.663,0.89,4.657,2025-09-24
10008869,科创板50购9月1000,0.4895,10.75,1.0,-0.37,科创板50ETF,1.495,3.68,1.49,2025-09-24
10008871,科创板50购9月1100,0.3784,10.64,1.1,-1.11,科创板50ETF,1.495,3.68,1.478,2025-09-24
10009908,300ETF购10月4200,0.4665,10.55,4.2,0.08,沪深300ETF,4.663,0.89,4.667,2025-10-22
10009943,科创50购10月1150,0.3588,10.4,1.15,-1.39,科创50ETF,1.53,3.73,1.509,2025-10-22
10009278,科创50购12月1200,0.3036,10.4,1.2,-1.73,科创50ETF,1.53,3.73,1.504,2025-12-24
10009481,300ETF购12月4300,0.407,10.39,4.3,0.94,沪深300ETF,4.663,0.89,4.707,2025-12-24
10008891,300ETF购9月4303A,0.352,10.34,4.303,-0.17,沪深300ETF,4.663,0.89,4.655,2025-09-24
10008851,科创50购9月1050,0.4679,10.09,1.05,-0.79,科创50ETF,1.53,3.73,1.518,2025-09-24
